Frequency (Hz)	|	Gain (dB)
855.000000	|	-31.352688
856.000000	|	-31.388328
857.000000	|	-31.417946
858.000000	|	-31.447565
859.000000	|	-31.478804
860.000000	|	-31.491274
861.000000	|	-31.495935
862.000000	|	-31.500595
863.000000	|	-31.520808
864.000000	|	-31.541020
865.000000	|	-31.552746
866.000000	|	-31.556536
867.000000	|	-31.560326
868.000000	|	-31.563915
869.000000	|	-31.571094
870.000000	|	-31.574683
871.000000	|	-31.578563
872.000000	|	-31.578968
873.000000	|	-31.579052
874.000000	|	-31.579088
875.000000	|	-31.579103
876.000000	|	-31.579117
877.000000	|	-31.579457
878.000000	|	-31.579796
879.000000	|	-31.581299
880.000000	|	-31.582051
881.000000	|	-31.585110
882.000000	|	-31.597377
883.000000	|	-31.603511
884.000000	|	-31.616973
885.000000	|	-31.643895
886.000000	|	-31.657357
887.000000	|	-31.671922
888.000000	|	-31.701051
889.000000	|	-31.715616
890.000000	|	-31.790345
891.000000	|	-31.797320
892.000000	|	-31.811271
893.000000	|	-31.818246
894.000000	|	-31.842834
895.000000	|	-31.844811
896.000000	|	-31.845733
897.000000	|	-31.846162
898.000000	|	-31.846590
899.000000	|	-31.884393
900.000000	|	-31.922195
901.000000	|	-31.922615
902.000000	|	-31.922757
903.000000	|	-31.922795
904.000000	|	-31.922832
905.000000	|	-31.923841
906.000000	|	-31.924850
907.000000	|	-31.926012
908.000000	|	-31.933062
909.000000	|	-31.953815
910.000000	|	-31.995322
911.000000	|	-32.016075
912.000000	|	-32.022440
913.000000	|	-32.035168
914.000000	|	-32.035914
915.000000	|	-32.037405
916.000000	|	-32.038150
917.000000	|	-32.056282
918.000000	|	-32.056773
919.000000	|	-32.057756
920.000000	|	-32.058248
921.000000	|	-32.067150
922.000000	|	-32.076053
923.000000	|	-32.096225
924.000000	|	-32.097498
925.000000	|	-32.100044
926.000000	|	-32.101317
927.000000	|	-32.106060
928.000000	|	-32.108279
929.000000	|	-32.108376
930.000000	|	-32.108472
931.000000	|	-32.123234
932.000000	|	-32.137996
933.000000	|	-32.171764
934.000000	|	-32.191406
935.000000	|	-32.194566
936.000000	|	-32.200885
937.000000	|	-32.201513
938.000000	|	-32.201615
939.000000	|	-32.201818
940.000000	|	-32.201920
941.000000	|	-32.241061
942.000000	|	-32.280203
943.000000	|	-32.284933
944.000000	|	-32.287937
945.000000	|	-32.290942
946.000000	|	-32.307108
947.000000	|	-32.323273
948.000000	|	-32.359054
949.000000	|	-32.372250
950.000000	|	-32.383489
951.000000	|	-32.383791
952.000000	|	-32.384092
953.000000	|	-32.385973
954.000000	|	-32.387853
955.000000	|	-32.397581
956.000000	|	-32.402445
957.000000	|	-32.429210
958.000000	|	-32.440396
959.000000	|	-32.451583
960.000000	|	-32.452561
961.000000	|	-32.453016
962.000000	|	-32.453926
963.000000	|	-32.453965
964.000000	|	-32.454004
965.000000	|	-32.459096
966.000000	|	-32.464189
967.000000	|	-32.469530
968.000000	|	-32.475217
969.000000	|	-32.480904
970.000000	|	-32.484253
971.000000	|	-32.490952
972.000000	|	-32.494301
973.000000	|	-32.531340
974.000000	|	-32.536833
975.000000	|	-32.547821
976.000000	|	-32.553315
977.000000	|	-32.582662
978.000000	|	-32.589848
979.000000	|	-32.597012
980.000000	|	-32.600546
981.000000	|	-32.602290
982.000000	|	-32.604033
983.000000	|	-32.607795
984.000000	|	-32.611556
985.000000	|	-32.632891
986.000000	|	-32.643558
987.000000	|	-32.644887
988.000000	|	-32.647545
989.000000	|	-32.648874
990.000000	|	-32.651491
991.000000	|	-32.656724
