Frequency (Hz)	|	Gain (dB)
504.000000	|	-19.900398
505.000000	|	-19.916074
506.000000	|	-19.923834
507.000000	|	-19.925639
508.000000	|	-19.927444
509.000000	|	-19.933108
510.000000	|	-19.944436
511.000000	|	-19.950100
512.000000	|	-19.973815
513.000000	|	-20.000379
514.000000	|	-20.009073
515.000000	|	-20.017385
516.000000	|	-20.020778
517.000000	|	-20.022094
518.000000	|	-20.023409
519.000000	|	-20.047398
520.000000	|	-20.057000
521.000000	|	-20.066602
522.000000	|	-20.071835
523.000000	|	-20.077068
524.000000	|	-20.107572
525.000000	|	-20.110738
526.000000	|	-20.117072
527.000000	|	-20.120239
528.000000	|	-20.125860
529.000000	|	-20.131480
530.000000	|	-20.145263
531.000000	|	-20.146232
532.000000	|	-20.147170
533.000000	|	-20.148108
534.000000	|	-20.148320
535.000000	|	-20.148533
536.000000	|	-20.149504
537.000000	|	-20.149990
538.000000	|	-20.154013
539.000000	|	-20.170434
540.000000	|	-20.210915
541.000000	|	-20.214202
542.000000	|	-20.220777
543.000000	|	-20.224064
544.000000	|	-20.225425
545.000000	|	-20.226786
546.000000	|	-20.261518
547.000000	|	-20.296250
548.000000	|	-20.308201
549.000000	|	-20.320152
550.000000	|	-20.338740
551.000000	|	-20.346333
552.000000	|	-20.353927
553.000000	|	-20.380546
554.000000	|	-20.380574
555.000000	|	-20.380629
556.000000	|	-20.380657
557.000000	|	-20.381186
558.000000	|	-20.381714
559.000000	|	-20.382944
560.000000	|	-20.389920
561.000000	|	-20.393407
562.000000	|	-20.410504
563.000000	|	-20.431728
564.000000	|	-20.435496
565.000000	|	-20.439265
566.000000	|	-20.486157
567.000000	|	-20.487787
568.000000	|	-20.491049
569.000000	|	-20.492679
570.000000	|	-20.492983
571.000000	|	-20.493286
572.000000	|	-20.521412
573.000000	|	-20.523404
574.000000	|	-20.527387
575.000000	|	-20.529379
576.000000	|	-20.583529
577.000000	|	-20.587470
578.000000	|	-20.588317
579.000000	|	-20.588696
580.000000	|	-20.588863
581.000000	|	-20.589030
582.000000	|	-20.589037
583.000000	|	-20.589051
584.000000	|	-20.589058
585.000000	|	-20.589135
586.000000	|	-20.590473
587.000000	|	-20.596639
588.000000	|	-20.599722
589.000000	|	-20.612195
590.000000	|	-20.621434
591.000000	|	-20.639912
592.000000	|	-20.641899
593.000000	|	-20.645874
594.000000	|	-20.647862
595.000000	|	-20.681618
596.000000	|	-20.686158
597.000000	|	-20.690697
598.000000	|	-20.700074
599.000000	|	-20.701447
600.000000	|	-20.704192
601.000000	|	-20.705564
602.000000	|	-20.733940
603.000000	|	-20.741016
604.000000	|	-20.748076
605.000000	|	-20.748508
606.000000	|	-20.749371
607.000000	|	-20.749446
608.000000	|	-20.749597
609.000000	|	-20.749673
610.000000	|	-20.749688
611.000000	|	-20.749703
612.000000	|	-20.749869
613.000000	|	-20.749951
614.000000	|	-20.750292
615.000000	|	-20.753061
616.000000	|	-20.754446
617.000000	|	-20.760000
618.000000	|	-20.769980
619.000000	|	-20.779960
620.000000	|	-20.785560
621.000000	|	-20.804786
622.000000	|	-20.843240
623.000000	|	-20.862466
624.000000	|	-20.871306
625.000000	|	-20.875094
626.000000	|	-20.878746
627.000000	|	-20.882399
628.000000	|	-20.886902
629.000000	|	-20.891406
630.000000	|	-20.900685
631.000000	|	-20.905314
632.000000	|	-20.914570
633.000000	|	-20.919199
634.000000	|	-20.919906
635.000000	|	-20.921320
636.000000	|	-20.922027
637.000000	|	-20.951575
638.000000	|	-20.957151
639.000000	|	-20.957207
640.000000	|	-20.957320
641.000000	|	-20.957377
642.000000	|	-20.960643
643.000000	|	-20.963909
644.000000	|	-20.981531
645.000000	|	-20.990341
646.000000	|	-20.993485
647.000000	|	-20.999773
648.000000	|	-21.002917
649.000000	|	-21.029392
650.000000	|	-21.031742
651.000000	|	-21.034093
652.000000	|	-21.035092
653.000000	|	-21.035182
654.000000	|	-21.035363
655.000000	|	-21.035453
656.000000	|	-21.036846
657.000000	|	-21.038239
658.000000	|	-21.042009
659.000000	|	-21.061535
660.000000	|	-21.081061
661.000000	|	-21.092408
662.000000	|	-21.093269
663.000000	|	-21.094130
664.000000	|	-21.095401
665.000000	|	-21.097943
666.000000	|	-21.099214
667.000000	|	-21.108313
668.000000	|	-21.126511
669.000000	|	-21.135610
670.000000	|	-21.136606
671.000000	|	-21.138600
672.000000	|	-21.139596
673.000000	|	-21.141781
674.000000	|	-21.143961
675.000000	|	-21.145040
676.000000	|	-21.145574
677.000000	|	-21.145692
678.000000	|	-21.145929
679.000000	|	-21.146047
680.000000	|	-21.146721
681.000000	|	-21.148068
682.000000	|	-21.148742
683.000000	|	-21.179942
684.000000	|	-21.191500
685.000000	|	-21.203057
686.000000	|	-21.220094
687.000000	|	-21.254167
688.000000	|	-21.262380
689.000000	|	-21.265875
690.000000	|	-21.269370
691.000000	|	-21.281896
692.000000	|	-21.288986
693.000000	|	-21.296076
694.000000	|	-21.316464
695.000000	|	-21.336852
696.000000	|	-21.388499
697.000000	|	-21.390272
698.000000	|	-21.393817
699.000000	|	-21.395590
700.000000	|	-21.397911
701.000000	|	-21.398872
702.000000	|	-21.400793
703.000000	|	-21.401086
704.000000	|	-21.401379
705.000000	|	-21.406692
706.000000	|	-21.412004
707.000000	|	-21.412910
708.000000	|	-21.414721
709.000000	|	-21.415626
710.000000	|	-21.418038
711.000000	|	-21.422862
712.000000	|	-21.425274
713.000000	|	-21.425375
714.000000	|	-21.425576
715.000000	|	-21.425601
716.000000	|	-21.425651
717.000000	|	-21.425657
