Frequency (Hz)	|	Gain (dB)
906.000000	|	-16.474831
907.000000	|	-16.474831
908.000000	|	-16.474831
909.000000	|	-16.474831
910.000000	|	-16.474831
911.000000	|	-16.474831
912.000000	|	-16.474831
913.000000	|	-16.474831
914.000000	|	-16.474819
915.000000	|	-16.474726
916.000000	|	-16.474354
917.000000	|	-16.471375
918.000000	|	-16.423724
919.000000	|	-16.422825
920.000000	|	-16.340083
921.000000	|	-16.326228
922.000000	|	-16.298517
923.000000	|	-16.284662
924.000000	|	-16.242935
925.000000	|	-16.112539
926.000000	|	-16.111621
927.000000	|	-16.111506
928.000000	|	-16.111449
929.000000	|	-16.111445
930.000000	|	-16.111444
931.000000	|	-16.111444
932.000000	|	-16.111444
933.000000	|	-16.111444
934.000000	|	-16.111444
935.000000	|	-16.111444
936.000000	|	-16.111444
937.000000	|	-16.111444
938.000000	|	-16.111444
939.000000	|	-16.111445
940.000000	|	-16.111533
941.000000	|	-16.134269
942.000000	|	-16.183912
943.000000	|	-16.184301
944.000000	|	-16.185080
945.000000	|	-16.185469
946.000000	|	-16.447195
947.000000	|	-16.454288
948.000000	|	-16.468473
949.000000	|	-16.475566
950.000000	|	-16.496143
951.000000	|	-16.497822
952.000000	|	-16.499500
953.000000	|	-16.583684
954.000000	|	-16.667867
955.000000	|	-16.778875
956.000000	|	-16.842893
957.000000	|	-16.849854
958.000000	|	-16.853335
959.000000	|	-16.853553
960.000000	|	-16.853566
961.000000	|	-16.853573
962.000000	|	-16.853576
963.000000	|	-16.853577
964.000000	|	-16.853577
965.000000	|	-16.853577
966.000000	|	-16.853577
967.000000	|	-16.853577
968.000000	|	-16.853577
969.000000	|	-16.853577
970.000000	|	-16.853577
971.000000	|	-16.853577
972.000000	|	-16.853576
973.000000	|	-16.853576
974.000000	|	-16.853576
975.000000	|	-16.853576
976.000000	|	-16.853576
977.000000	|	-16.853576
978.000000	|	-16.853576
979.000000	|	-16.853576
980.000000	|	-16.853576
981.000000	|	-16.853576
982.000000	|	-16.853576
983.000000	|	-16.853578
984.000000	|	-16.854003
985.000000	|	-16.854215
986.000000	|	-16.855066
987.000000	|	-16.856766
988.000000	|	-16.863569
989.000000	|	-16.954804
990.000000	|	-16.955073
991.000000	|	-16.955611
992.000000	|	-16.955880
993.000000	|	-16.966764
994.000000	|	-17.072204
995.000000	|	-17.108882
996.000000	|	-17.214523
997.000000	|	-17.411357
998.000000	|	-17.507867
999.000000	|	-17.540722
1000.000000	|	-17.544203
1001.000000	|	-17.584132
1002.000000	|	-17.663989
1003.000000	|	-17.703918
1004.000000	|	-17.827812
1005.000000	|	-17.889796
1006.000000	|	-18.026811
1007.000000	|	-18.038278
1008.000000	|	-18.061212
1009.000000	|	-18.072679
1010.000000	|	-18.201940
1011.000000	|	-18.212813
1012.000000	|	-18.234558
1013.000000	|	-18.245431
1014.000000	|	-18.262334
1015.000000	|	-18.283592
1016.000000	|	-18.304169
1017.000000	|	-18.309313
1018.000000	|	-18.310599
1019.000000	|	-18.310609
1020.000000	|	-18.310612
1021.000000	|	-18.310612
1022.000000	|	-18.310612
1023.000000	|	-18.310612
1024.000000	|	-18.310612
1025.000000	|	-18.310612
1026.000000	|	-18.310612
1027.000000	|	-18.310612
1028.000000	|	-18.310611
1029.000000	|	-18.310611
1030.000000	|	-18.310608
1031.000000	|	-18.307006
1032.000000	|	-18.305205
1033.000000	|	-18.298003
1034.000000	|	-18.290800
1035.000000	|	-18.242981
1036.000000	|	-18.195162
1037.000000	|	-18.169688
1038.000000	|	-18.144214
1039.000000	|	-18.073526
1040.000000	|	-18.002837
1041.000000	|	-17.898484
1042.000000	|	-17.795833
1043.000000	|	-17.730481
1044.000000	|	-17.703946
1045.000000	|	-17.693748
1046.000000	|	-17.683550
1047.000000	|	-17.574131
1048.000000	|	-17.572809
1049.000000	|	-17.557908
1050.000000	|	-17.554183
1051.000000	|	-17.554125
1052.000000	|	-17.554125
1053.000000	|	-17.554125
