Frequency (Hz)	|	Gain (dB)
835.000000	|	-20.755534
836.000000	|	-20.755534
837.000000	|	-20.755488
838.000000	|	-20.755125
839.000000	|	-20.753672
840.000000	|	-20.752946
841.000000	|	-20.729700
842.000000	|	-20.328007
843.000000	|	-20.153771
844.000000	|	-20.097530
845.000000	|	-20.084848
846.000000	|	-20.072166
847.000000	|	-19.908189
848.000000	|	-19.772675
849.000000	|	-19.637161
850.000000	|	-19.114470
851.000000	|	-18.591780
852.000000	|	-18.376428
853.000000	|	-18.268752
854.000000	|	-18.262022
855.000000	|	-18.260340
856.000000	|	-18.260338
857.000000	|	-18.260338
858.000000	|	-18.260338
859.000000	|	-18.260338
860.000000	|	-18.260338
861.000000	|	-18.260338
862.000000	|	-18.260338
863.000000	|	-18.260338
864.000000	|	-18.260338
865.000000	|	-18.260338
866.000000	|	-18.260338
867.000000	|	-18.260405
868.000000	|	-19.326148
869.000000	|	-20.097684
870.000000	|	-20.815029
871.000000	|	-21.370941
872.000000	|	-21.481461
873.000000	|	-21.702502
874.000000	|	-21.813022
875.000000	|	-22.243592
876.000000	|	-22.381493
877.000000	|	-22.415968
878.000000	|	-22.433206
879.000000	|	-22.441825
880.000000	|	-22.443979
881.000000	|	-22.444113
882.000000	|	-22.444180
883.000000	|	-22.444180
884.000000	|	-22.444180
885.000000	|	-22.444180
886.000000	|	-22.444180
887.000000	|	-22.444180
888.000000	|	-22.444180
889.000000	|	-22.444159
890.000000	|	-22.444076
891.000000	|	-22.438684
892.000000	|	-22.417116
893.000000	|	-22.192070
894.000000	|	-21.817130
895.000000	|	-20.927898
896.000000	|	-20.537345
897.000000	|	-20.359947
898.000000	|	-20.194972
899.000000	|	-19.982357
900.000000	|	-19.680316
901.000000	|	-19.615273
902.000000	|	-19.615273
903.000000	|	-19.615272
904.000000	|	-19.615272
905.000000	|	-19.615272
906.000000	|	-19.615272
907.000000	|	-19.615272
908.000000	|	-19.615272
909.000000	|	-19.615272
910.000000	|	-19.615272
911.000000	|	-19.615272
912.000000	|	-19.615293
913.000000	|	-19.615462
914.000000	|	-19.658737
915.000000	|	-19.831834
916.000000	|	-19.918383
917.000000	|	-20.264578
918.000000	|	-20.671853
919.000000	|	-20.933949
920.000000	|	-21.390979
921.000000	|	-21.928750
922.000000	|	-22.359709
923.000000	|	-22.547026
924.000000	|	-22.785449
925.000000	|	-22.785451
926.000000	|	-22.785451
927.000000	|	-22.785451
