Frequency (Hz)	|	Gain (dB)
995.000000	|	-23.803561
996.000000	|	-23.183006
997.000000	|	-23.219164
998.000000	|	-23.140029
999.000000	|	-23.097867
1000.000000	|	-23.484419
1001.000000	|	-23.510501
1002.000000	|	-23.609788
1003.000000	|	-23.448963
1004.000000	|	-22.965473
1005.000000	|	-22.863432
1006.000000	|	-22.156568
1007.000000	|	-21.876582
1008.000000	|	-21.742085
1009.000000	|	-21.527617
1010.000000	|	-20.997999
1011.000000	|	-20.987056
1012.000000	|	-20.422439
1013.000000	|	-20.242187
1014.000000	|	-20.122168
1015.000000	|	-20.620910
1016.000000	|	-20.561876
1017.000000	|	-20.747557
1018.000000	|	-20.801438
1019.000000	|	-20.858916
1020.000000	|	-20.907960
1021.000000	|	-20.446421
1022.000000	|	-20.882216
1023.000000	|	-21.210296
1024.000000	|	-21.403548
1025.000000	|	-21.614166
1026.000000	|	-21.704263
1027.000000	|	-21.914043
1028.000000	|	-22.516061
1029.000000	|	-22.694003
1030.000000	|	-23.414342
1031.000000	|	-23.390713
1032.000000	|	-23.510828
1033.000000	|	-23.865107
1034.000000	|	-23.711982
1035.000000	|	-23.438414
1036.000000	|	-24.181946
1037.000000	|	-25.381012
1038.000000	|	-25.166743
1039.000000	|	-25.200740
1040.000000	|	-25.290685
1041.000000	|	-25.392594
1042.000000	|	-24.835689
1043.000000	|	-24.997955
1044.000000	|	-25.240024
1045.000000	|	-25.026538
1046.000000	|	-25.355443
1047.000000	|	-25.063067
1048.000000	|	-24.489226
1049.000000	|	-24.148393
1050.000000	|	-24.165248
1051.000000	|	-24.259697
1052.000000	|	-24.412374
1053.000000	|	-24.719209
1054.000000	|	-24.478211
1055.000000	|	-24.374484
1056.000000	|	-24.136102
1057.000000	|	-23.468259
1058.000000	|	-23.203329
1059.000000	|	-23.019712
1060.000000	|	-22.745351
1061.000000	|	-22.717691
1062.000000	|	-22.265000
1063.000000	|	-22.001997
1064.000000	|	-21.554070
